castle_level,laboratory,workshop,trade_ship,altar,field,mine,quarry,lumber_mill,food_storage,iron_storage,stone_storage,wood_storage
1,0,0,0,1,1,1,1,1,1,1,1,1
2,0,0,0,1,1,1,1,1,1,1,1,1
3,0,0,0,1,1,1,1,1,1,1,1,1
4,1,0,0,1,1,1,1,1,1,1,1,1
5,1,0,1,1,1,1,1,1,1,1,1,1
6,1,0,1,1,1,1,1,1,1,1,1,1
7,1,0,1,1,1,1,1,1,1,1,1,1
8,1,0,1,1,2,2,2,2,1,1,1,1
9,1,0,1,1,2,2,2,2,1,1,1,1
10,1,1,1,1,2,2,2,2,1,1,1,1
11,1,1,1,1,2,2,2,2,1,1,1,1
12,1,1,1,1,2,2,2,2,1,1,1,1
13,1,1,1,1,2,2,2,2,1,1,1,1
14,1,1,1,1,2,2,2,2,1,1,1,1
15,1,1,1,1,3,3,3,3,1,1,1,1
16,1,1,1,1,3,3,3,3,1,1,1,1
17,1,1,1,1,3,3,3,3,1,1,1,1
18,1,1,1,1,3,3,3,3,1,1,1,1
19,1,1,1,1,3,3,3,3,1,1,1,1
20,1,1,1,1,4,4,4,4,1,1,1,1
21,1,1,1,1,4,4,4,4,1,1,1,1
22,1,1,1,1,4,4,4,4,1,1,1,1
23,1,1,1,1,4,4,4,4,1,1,1,1
24,1,1,1,1,4,4,4,4,1,1,1,1
25,1,1,1,1,4,4,4,4,1,1,1,1
