building_level,castle_img,laboratory_img,workshop_img,altar_img,field_img,mine_img,quarry_img,lumber_mill_img,food_storage_img,iron_storage_img,stone_storage_img,wood_storage_img
1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0,0,0,0,0,0
6,1,0,1,0,0,0,0,0,0,0,0,0
7,2,1,1,1,1,1,1,1,1,1,1,1
8,2,1,1,1,1,1,1,1,1,1,1,1
9,2,1,1,1,1,1,1,1,1,1,1,1
10,2,1,1,1,1,1,1,1,1,1,1,1
11,3,1,1,1,1,1,1,1,1,1,1,1
12,3,1,1,1,1,1,1,1,1,1,1,1
13,3,2,2,2,2,2,2,2,2,2,2,2
14,3,2,2,2,2,2,2,2,2,2,2,2
15,4,2,2,2,2,2,2,2,2,2,2,2
16,4,2,2,2,2,2,2,2,2,2,2,2
17,4,2,2,2,2,2,2,2,2,2,2,2
18,4,2,2,2,2,2,2,2,2,2,2,2
19,5,3,3,3,3,3,3,3,3,3,3,3
20,5,3,3,3,3,3,3,3,3,3,3,3
21,5,3,3,3,3,3,3,3,3,3,3,3
22,5,3,3,3,3,3,3,3,3,3,3,3
23,6,3,3,3,3,3,3,3,3,3,3,3
24,6,3,3,3,3,3,3,3,3,3,3,3
25,6,3,3,3,3,3,3,3,3,3,3,3
