level,item1_id,item2_id,item3_id,item4_id,item5_id,item1_qty,item2_qty,item3_qty,item4_qty,item5_qty,build_sec,capacity
1,60000002,60000003,60000004,60000005,60000006,10,10,10,10,10,1,1500
2,60000002,60000003,60000004,60000005,60000006,20,20,20,20,20,2,2000
3,60000002,60000003,60000004,60000005,60000006,30,30,30,30,30,3,3000
4,60000002,60000003,60000004,60000005,60000006,40,40,40,40,40,4,4000
5,60000002,60000003,60000004,60000005,60000006,50,50,50,50,50,5,5000
6,60000002,60000003,60000004,60000005,60000006,60,60,60,60,60,6,6000
7,60000002,60000003,60000004,60000005,60000006,70,70,70,70,70,7,7000
8,60000002,60000003,60000004,60000005,60000006,80,80,80,80,80,8,8000
9,60000002,60000003,60000004,60000005,60000006,90,90,90,90,90,9,9000
10,60000002,60000003,60000004,60000005,60000006,100,100,100,100,100,10,10000
11,60000002,60000003,60000004,60000005,60000006,110,110,110,110,110,11,11000
12,60000002,60000003,60000004,60000005,60000006,120,120,120,120,120,12,12000
13,60000002,60000003,60000004,60000005,60000006,130,130,130,130,130,13,13000
14,60000002,60000003,60000004,60000005,60000006,140,140,140,140,140,14,14000
15,60000002,60000003,60000004,60000005,60000006,150,150,150,150,150,15,15000
16,60000002,60000003,60000004,60000005,60000006,160,160,160,160,160,16,16000
17,60000002,60000003,60000004,60000005,60000006,170,170,170,170,170,17,17000
18,60000002,60000003,60000004,60000005,60000006,180,180,180,180,180,18,18000
19,60000002,60000003,60000004,60000005,60000006,190,190,190,190,190,19,19000
20,60000002,60000003,60000004,60000005,60000006,200,200,200,200,200,20,20000
21,60000002,60000003,60000004,60000005,60000006,210,210,210,210,210,21,21000
22,60000002,60000003,60000004,60000005,60000006,220,220,220,220,220,22,22000
23,60000002,60000003,60000004,60000005,60000006,230,230,230,230,230,23,23000
24,60000002,60000003,60000004,60000005,60000006,240,240,240,240,240,24,24000
25,60000002,60000003,60000004,60000005,60000006,250,250,250,250,250,25,25000
