floor,stamina,recommend,team,reward,qty_min
1,2,270,50020301,32030100,10
2,2,405,50020302,32030200,50
3,2,540,50020303,32030300,100
4,2,675,50020304,32030400,200
5,2,810,50020305,32030500,300
6,2,945,50020306,32030600,400
7,2,1080,50020307,32030700,500
8,2,1215,50020308,32030800,600
9,2,1350,50020309,32030900,700
10,2,1485,50020310,32031000,800
11,2,1620,50020311,32031100,900
12,2,1755,50020312,32031200,1000
13,2,1890,50020313,32031300,1100
14,2,2025,50020314,32031400,1200
15,2,2160,50020315,32031500,1300
16,2,2295,50020316,32031600,1400
17,2,2430,50020317,32031700,1500
18,2,2565,50020318,32031800,1600
19,2,2700,50020319,32031900,1700
20,2,2835,50020320,32032000,1800
21,2,2970,50020321,32032100,1900
22,2,3105,50020322,32032200,2000
23,2,3240,50020323,32032300,2100
24,2,3375,50020324,32032400,2200
25,2,3510,50020325,32032500,2300
26,2,3645,50020326,32032600,2400
27,2,3780,50020327,32032700,2500
28,2,3915,50020328,32032800,2600
29,2,4050,50020329,32032900,2700
30,2,4725,50020330,32033000,2800
