floor,stamina,recommend,team,reward,qty_min
1,2,270,50020201,32020100,10
2,2,405,50020202,32020200,50
3,2,540,50020203,32020300,100
4,2,675,50020204,32020400,200
5,2,810,50020205,32020500,300
6,2,945,50020206,32020600,400
7,2,1080,50020207,32020700,500
8,2,1215,50020208,32020800,600
9,2,1350,50020209,32020900,700
10,2,1485,50020210,32021000,800
11,2,1620,50020211,32021100,900
12,2,1755,50020212,32021200,1000
13,2,1890,50020213,32021300,1100
14,2,2025,50020214,32021400,1200
15,2,2160,50020215,32021500,1300
16,2,2295,50020216,32021600,1400
17,2,2430,50020217,32021700,1500
18,2,2565,50020218,32021800,1600
19,2,2700,50020219,32021900,1700
20,2,2835,50020220,32022000,1800
21,2,2970,50020221,32022100,1900
22,2,3105,50020222,32022200,2000
23,2,3240,50020223,32022300,2100
24,2,3375,50020224,32022400,2200
25,2,3510,50020225,32022500,2300
26,2,3645,50020226,32022600,2400
27,2,3780,50020227,32022700,2500
28,2,3915,50020228,32022800,2600
29,2,4050,50020229,32022900,2700
30,2,4725,50020230,32023000,2800
