floor,stamina,recommend,team,reward,qty_min
1,2,270,50020401,32040100,10
2,2,405,50020402,32040200,50
3,2,540,50020403,32040300,100
4,2,675,50020404,32040400,200
5,2,810,50020405,32040500,300
6,2,945,50020406,32040600,400
7,2,1080,50020407,32040700,500
8,2,1215,50020408,32040800,600
9,2,1350,50020409,32040900,700
10,2,1485,50020410,32041000,800
11,2,1620,50020411,32041100,900
12,2,1755,50020412,32041200,1000
13,2,1890,50020413,32041300,1100
14,2,2025,50020414,32041400,1200
15,2,2160,50020415,32041500,1300
16,2,2295,50020416,32041600,1400
17,2,2430,50020417,32041700,1500
18,2,2565,50020418,32041800,1600
19,2,2700,50020419,32041900,1700
20,2,2835,50020420,32042000,1800
21,2,2970,50020421,32042100,1900
22,2,3105,50020422,32042200,2000
23,2,3240,50020423,32042300,2100
24,2,3375,50020424,32042400,2200
25,2,3510,50020425,32042500,2300
26,2,3645,50020426,32042600,2400
27,2,3780,50020427,32042700,2500
28,2,3915,50020428,32042800,2600
29,2,4050,50020429,32042900,2700
30,2,4725,50020430,32043000,2800
