floor,stamina,recommend,team,reward,qty_min
1,2,270,50020601,32060100,10
2,2,405,50020602,32060200,50
3,2,540,50020603,32060300,100
4,2,675,50020604,32060400,200
5,2,810,50020605,32060500,300
6,2,945,50020606,32060600,400
7,2,1080,50020607,32060700,500
8,2,1215,50020608,32060800,600
9,2,1350,50020609,32060900,700
10,2,1485,50020610,32061000,800
11,2,1620,50020611,32061100,900
12,2,1755,50020612,32061200,1000
13,2,1890,50020613,32061300,1100
14,2,2025,50020614,32061400,1200
15,2,2160,50020615,32061500,1300
16,2,2295,50020616,32061600,1400
17,2,2430,50020617,32061700,1500
18,2,2565,50020618,32061800,1600
19,2,2700,50020619,32061900,1700
20,2,2835,50020620,32062000,1800
21,2,2970,50020621,32062100,1900
22,2,3105,50020622,32062200,2000
23,2,3240,50020623,32062300,2100
24,2,3375,50020624,32062400,2200
25,2,3510,50020625,32062500,2300
26,2,3645,50020626,32062600,2400
27,2,3780,50020627,32062700,2500
28,2,3915,50020628,32062800,2600
29,2,4050,50020629,32062900,2700
30,2,4725,50020630,32063000,2800
