mob_level,reward_1,qty_1,reward_2,qty_2,reward_3,qty_3,reward_4,qty_4,reward_5,qty_5,reward_6,qty_6,reward_7,qty_7
1,33011100,10,33011200,7,33011300,4,33011400,4,33011500,4,33011600,4,33011700,4
2,33021100,10,33021200,7,33021300,4,33021400,4,33021500,4,33021600,4,33021700,4
3,33031100,10,33031200,7,33031300,4,33031400,4,33031500,4,33031600,4,33031700,4
4,33041100,10,33041200,7,33041300,4,33041400,4,33041500,4,33041600,4,33041700,4
5,33051100,10,33051200,7,33051300,4,33051400,4,33051500,4,33051600,4,33051700,4
6,33061100,10,33061200,7,33061300,4,33061400,4,33061500,4,33061600,4,33061700,4
7,33071100,10,33071200,7,33071300,4,33071400,4,33071500,4,33071600,4,33071700,4
8,33081100,10,33081200,7,33081300,4,33081400,4,33081500,4,33081600,4,33081700,4
9,33091100,10,33091200,7,33091300,4,33091400,4,33091500,4,33091600,4,33091700,4
10,33101100,10,33101200,7,33101300,4,33101400,4,33101500,4,33101600,4,33101700,4
11,33111100,10,33111200,7,33111300,4,33111400,4,33111500,4,33111600,4,33111700,4
12,33121100,10,33121200,7,33121300,4,33121400,4,33121500,4,33121600,4,33121700,4
13,33131100,10,33131200,7,33131300,4,33131400,4,33131500,4,33131600,4,33131700,4
14,33141100,10,33141200,7,33141300,4,33141400,4,33141500,4,33141600,4,33141700,4
15,33151100,10,33151200,7,33151300,4,33151400,4,33151500,4,33151600,4,33151700,4
