group,rank,help,reward_id
1,1,1위,30041100
1,2,2위,30041200
1,3,3위,30041200
1,4,4위,30041200
1,5,5위,30041200
1,6,6위,30041200
1,7,7위,30041200
1,8,8위,30041200
1,9,9위,30041200
1,10,10위,30041200
2,1,1위,30041100
2,2,2위,30041200
2,3,3위,30041200
2,4,4위,30041200
2,5,5위,30041200
2,6,6위,30041200
2,7,7위,30041200
2,8,8위,30041200
2,9,9위,30041200
2,10,10위,30041200
3,1,1위,30041100
3,2,2위,30041200
3,3,3위,30041200
3,4,4위,30041200
3,5,5위,30041200
3,6,6위,30041200
3,7,7위,30041200
3,8,8위,30041200
3,9,9위,30041200
3,10,10위,30041200
4,1,1위,30041100
4,2,2위,30041200
4,3,3위,30041200
4,4,4위,30041200
4,5,5위,30041200
4,6,6위,30041200
4,7,7위,30041200
4,8,8위,30041200
4,9,9위,30041200
4,10,10위,30041200
5,1,1위,30041100
5,2,2위,30041200
5,3,3위,30041200
5,4,4위,30041200
5,5,5위,30041200
5,6,6위,30041200
5,7,7위,30041200
5,8,8위,30041200
5,9,9위,30041200
5,10,10위,30041200
