level,item1_id,item2_id,item3_id,item4_id,item5_id,item1_qty,item2_qty,item3_qty,item4_qty,item5_qty,build_sec,produce,max_qty
1,60000002,60000003,60000004,60000005,60000006,1,1,1,1,1,1,1,100
2,60000002,60000003,60000004,60000005,60000006,2,2,2,2,2,2,2,200
3,60000002,60000003,60000004,60000005,60000006,3,3,3,3,3,3,3,300
4,60000002,60000003,60000004,60000005,60000006,4,4,4,4,4,4,4,400
5,60000002,60000003,60000004,60000005,60000006,5,5,5,5,5,5,5,500
6,60000002,60000003,60000004,60000005,60000006,6,6,6,6,6,6,6,600
7,60000002,60000003,60000004,60000005,60000006,7,7,7,7,7,7,7,700
8,60000002,60000003,60000004,60000005,60000006,8,8,8,8,8,8,8,800
9,60000002,60000003,60000004,60000005,60000006,9,9,9,9,9,9,9,900
10,60000002,60000003,60000004,60000005,60000006,10,10,10,10,10,10,10,1000
11,60000002,60000003,60000004,60000005,60000006,11,11,11,11,11,11,11,1100
12,60000002,60000003,60000004,60000005,60000006,12,12,12,12,12,12,12,1200
13,60000002,60000003,60000004,60000005,60000006,13,13,13,13,13,13,13,1300
14,60000002,60000003,60000004,60000005,60000006,14,14,14,14,14,14,14,1400
15,60000002,60000003,60000004,60000005,60000006,15,15,15,15,15,15,15,1500
16,60000002,60000003,60000004,60000005,60000006,16,16,16,16,16,16,16,1600
17,60000002,60000003,60000004,60000005,60000006,17,17,17,17,17,17,17,1700
18,60000002,60000003,60000004,60000005,60000006,18,18,18,18,18,18,18,1800
19,60000002,60000003,60000004,60000005,60000006,19,19,19,19,19,19,19,1900
20,60000002,60000003,60000004,60000005,60000006,20,20,20,20,20,20,20,2000
21,60000002,60000003,60000004,60000005,60000006,21,21,21,21,21,21,21,2100
22,60000002,60000003,60000004,60000005,60000006,22,22,22,22,22,22,22,2200
23,60000002,60000003,60000004,60000005,60000006,23,23,23,23,23,23,23,2300
24,60000002,60000003,60000004,60000005,60000006,24,24,24,24,24,24,24,2400
25,60000002,60000003,60000004,60000005,60000006,25,25,25,25,25,25,25,2500
