output,help,list,fuse_group,unlock,material1,qty1,material2,qty2,material3,qty3,material4,qty4,cost,wait_sec
60110001,다크네스트 1-1성 장비,1,0,1,60310101,5,60310102,5,60310103,5,0,0,100,60
60110002,다크네스트 2-1성 장비,1,0,1,60310201,5,60310202,5,60310203,5,0,0,100,60
60110003,다크네스트 3-1성 장비,1,0,1,60310301,5,60310302,5,60310303,5,0,0,100,60
60110004,다크네스트 4-1성 장비,1,0,1,60310401,5,60310402,5,60310403,5,0,0,100,60
60110005,다크네스트 5-1성 장비,1,0,1,60310501,5,60310502,5,60310503,5,0,0,100,60
60120001,다크네스트 1-2성 장비,1,0,2,60320101,5,60320102,5,60320103,5,0,0,1000,600
60120002,다크네스트 2-2성 장비,1,0,2,60320201,5,60320202,5,60320203,5,0,0,1000,600
60120003,다크네스트 3-2성 장비,1,0,2,60320301,5,60320302,5,60320303,5,0,0,1000,600
60120004,다크네스트 4-2성 장비,1,0,2,60320401,5,60320402,5,60320403,5,0,0,1000,600
60120005,다크네스트 5-2성 장비,1,0,2,60320501,5,60320502,5,60320503,5,0,0,1000,600
60130001,다크네스트 1-3성 장비,1,0,3,60330101,5,60330102,5,60330103,5,0,0,10000,36000
60130002,다크네스트 2-3성 장비,1,0,3,60330201,5,60330202,5,60330203,5,0,0,10000,36000
60130003,다크네스트 3-3성 장비,1,0,3,60330301,5,60330302,5,60330303,5,0,0,10000,36000
60130004,다크네스트 4-3성 장비,1,0,3,60330401,5,60330402,5,60330403,5,0,0,10000,36000
60130005,다크네스트 5-3성 장비,1,0,3,60330501,5,60330502,5,60330503,5,0,0,10000,36000
60140001,다크네스트 1-4성 장비,1,0,4,60340101,5,60340102,5,60340103,5,0,0,100000,432000
60140002,다크네스트 2-4성 장비,1,0,4,60340201,5,60340202,5,60340203,5,0,0,100000,432000
60140003,다크네스트 3-4성 장비,1,0,4,60340301,5,60340302,5,60340303,5,0,0,100000,432000
60140004,다크네스트 4-4성 장비,1,0,4,60340401,5,60340402,5,60340403,5,0,0,100000,432000
60140005,다크네스트 5-4성 장비,1,0,4,60340501,5,60340502,5,60340503,5,0,0,100000,432000
60310101,다크네스트 1-1 1성,0,11,1,0,0,0,0,0,0,0,0,0,0
60320101,다크네스트 1-1 2성,0,11,1,60310101,4,0,0,0,0,0,0,50,0
60330101,다크네스트 1-1 3성,0,11,1,60320101,4,0,0,0,0,0,0,100,0
60340101,다크네스트 1-1 4성,0,11,1,60330101,4,0,0,0,0,0,0,150,0
60310102,다크네스트 1-2 1성,0,12,1,0,0,0,0,0,0,0,0,0,0
60320102,다크네스트 1-2 2성,0,12,1,60310102,4,0,0,0,0,0,0,50,0
60330102,다크네스트 1-2 3성,0,12,1,60320102,4,0,0,0,0,0,0,100,0
60340102,다크네스트 1-2 4성,0,12,1,60330102,4,0,0,0,0,0,0,150,0
60310103,다크네스트 1-3 1성,0,13,1,0,0,0,0,0,0,0,0,0,0
60320103,다크네스트 1-3 2성,0,13,1,60310103,4,0,0,0,0,0,0,50,0
60330103,다크네스트 1-3 3성,0,13,1,60320103,4,0,0,0,0,0,0,100,0
60340103,다크네스트 1-3 4성,0,13,1,60330103,4,0,0,0,0,0,0,150,0
60310201,다크네스트 2-1 1성,0,21,1,0,0,0,0,0,0,0,0,0,0
60320201,다크네스트 2-1 2성,0,21,1,60310201,4,0,0,0,0,0,0,50,0
60330201,다크네스트 2-1 3성,0,21,1,60320201,4,0,0,0,0,0,0,100,0
60340201,다크네스트 2-1 4성,0,21,1,60330201,4,0,0,0,0,0,0,150,0
60310202,다크네스트 2-2 1성,0,22,1,0,0,0,0,0,0,0,0,0,0
60320202,다크네스트 2-2 2성,0,22,1,60310202,4,0,0,0,0,0,0,50,0
60330202,다크네스트 2-2 3성,0,22,1,60320202,4,0,0,0,0,0,0,100,0
60340202,다크네스트 2-2 4성,0,22,1,60330202,4,0,0,0,0,0,0,150,0
60310203,다크네스트 2-3 1성,0,23,1,0,0,0,0,0,0,0,0,0,0
60320203,다크네스트 2-3 2성,0,23,1,60310203,4,0,0,0,0,0,0,50,0
60330203,다크네스트 2-3 3성,0,23,1,60320203,4,0,0,0,0,0,0,100,0
60340203,다크네스트 2-3 4성,0,23,1,60330203,4,0,0,0,0,0,0,150,0
60310301,다크네스트 3-1 1성,0,31,1,0,0,0,0,0,0,0,0,0,0
60320301,다크네스트 3-1 2성,0,31,1,60310301,4,0,0,0,0,0,0,50,0
60330301,다크네스트 3-1 3성,0,31,1,60320301,4,0,0,0,0,0,0,100,0
60340301,다크네스트 3-1 4성,0,31,1,60330301,4,0,0,0,0,0,0,150,0
60310302,다크네스트 3-2 1성,0,32,1,0,0,0,0,0,0,0,0,0,0
60320302,다크네스트 3-2 2성,0,32,1,60310302,4,0,0,0,0,0,0,50,0
60330302,다크네스트 3-2 3성,0,32,1,60320302,4,0,0,0,0,0,0,100,0
60340302,다크네스트 3-2 4성,0,32,1,60330302,4,0,0,0,0,0,0,150,0
60310303,다크네스트 3-3 1성,0,33,1,0,0,0,0,0,0,0,0,0,0
60320303,다크네스트 3-3 2성,0,33,1,60310303,4,0,0,0,0,0,0,50,0
60330303,다크네스트 3-3 3성,0,33,1,60320303,4,0,0,0,0,0,0,100,0
60340303,다크네스트 3-3 4성,0,33,1,60330303,4,0,0,0,0,0,0,150,0
60310401,다크네스트 4-1 1성,0,41,1,0,0,0,0,0,0,0,0,0,0
60320401,다크네스트 4-1 2성,0,41,1,60310401,4,0,0,0,0,0,0,50,0
60330401,다크네스트 4-1 3성,0,41,1,60320401,4,0,0,0,0,0,0,100,0
60340401,다크네스트 4-1 4성,0,41,1,60330401,4,0,0,0,0,0,0,150,0
60310402,다크네스트 4-2 1성,0,42,1,0,0,0,0,0,0,0,0,0,0
60320402,다크네스트 4-2 2성,0,42,1,60310402,4,0,0,0,0,0,0,50,0
60330402,다크네스트 4-2 3성,0,42,1,60320402,4,0,0,0,0,0,0,100,0
60340402,다크네스트 4-2 4성,0,42,1,60330402,4,0,0,0,0,0,0,150,0
60310403,다크네스트 4-3 1성,0,43,1,0,0,0,0,0,0,0,0,0,0
60320403,다크네스트 4-3 2성,0,43,1,60310403,4,0,0,0,0,0,0,50,0
60330403,다크네스트 4-3 3성,0,43,1,60320403,4,0,0,0,0,0,0,100,0
60340403,다크네스트 4-3 4성,0,43,1,60330403,4,0,0,0,0,0,0,150,0
60310501,다크네스트 5-1 1성,0,51,1,0,0,0,0,0,0,0,0,0,0
60320501,다크네스트 5-1 2성,0,51,1,60310501,4,0,0,0,0,0,0,50,0
60330501,다크네스트 5-1 3성,0,51,1,60320501,4,0,0,0,0,0,0,100,0
60340501,다크네스트 5-1 4성,0,51,1,60330501,4,0,0,0,0,0,0,150,0
60310502,다크네스트 5-2 1성,0,52,1,0,0,0,0,0,0,0,0,0,0
60320502,다크네스트 5-2 2성,0,52,1,60310502,4,0,0,0,0,0,0,50,0
60330502,다크네스트 5-2 3성,0,52,1,60320502,4,0,0,0,0,0,0,100,0
60340502,다크네스트 5-2 4성,0,52,1,60330502,4,0,0,0,0,0,0,150,0
60310503,다크네스트 5-3 1성,0,53,1,0,0,0,0,0,0,0,0,0,0
60320503,다크네스트 5-3 2성,0,53,1,60310503,4,0,0,0,0,0,0,50,0
60330503,다크네스트 5-3 3성,0,53,1,60320503,4,0,0,0,0,0,0,100,0
60340503,다크네스트 5-3 4성,0,53,1,60330503,4,0,0,0,0,0,0,150,0
