region,difficulty,floor,step,stageMin,stageMax,M_team,M_reward,M_skill,M_turn,E_team,E_reward,E_skill,E_turn,event_group,trader_id,camp_id,w_box,s_box,g_box,speStep,mob_prob,elite_prob,trader_prob,box_prob,camp_prob,event_prob,bg
1,1,0,1,3,5,0,31011100,6000,25,0,31011200,10000,30,1,1,1,11,12,13,1,0,0,0,100,0,0,forest
1,1,0,2,3,5,50101111,31011100,6000,25,50101121,31011200,10000,30,1,1,1,11,12,13,1,100,0,0,0,0,0,forest
1,1,0,3,3,5,50101112,31011100,6000,25,50101121,31011200,10000,30,1,1,1,11,12,13,0,90,0,0,10,0,0,forest
1,1,0,4,3,5,50101111,31011100,6000,25,50101121,31011200,10000,30,1,1,1,11,12,13,0,50,0,40,0,0,10,forest
1,1,0,5,3,5,50101112,31011100,6000,25,50101121,31011200,10000,30,1,1,1,11,12,13,0,85,0,0,5,10,0,forest
1,1,0,6,3,5,50101111,31011100,6000,25,50101121,31011200,10000,30,1,1,1,11,12,13,0,0,100,0,0,0,0,forest
1,1,0,7,3,5,50101112,31011100,6000,25,50101121,31011200,10000,30,1,1,1,11,12,13,1,0,0,100,0,0,0,forest
1,1,0,8,3,5,0,31011100,6000,25,0,31011200,10000,30,1,1,1,11,12,13,1,0,0,0,0,100,0,forest
1,1,0,9,1,1,0,0,6000,0,50101131,0,10000,30,0,0,0,0,0,0,2,100,0,0,0,0,0,forest
2,1,0,1,3,5,0,31011100,6000,25,0,31011200,10000,30,1,1,1,11,12,13,1,0,0,0,100,0,0,dark_forest
2,1,0,2,3,5,50102111,31011100,6000,25,50102121,31011200,10000,30,1,1,1,11,12,13,1,100,0,0,0,0,0,dark_forest
2,1,0,3,3,5,50102112,31011100,6000,25,50102121,31011200,10000,30,1,1,1,11,12,13,0,90,0,0,0,0,10,dark_forest
2,1,0,4,3,5,50102111,31011100,6000,25,50102121,31011200,10000,30,1,1,1,11,12,13,0,90,0,10,0,0,0,dark_forest
2,1,0,5,3,5,50102112,31011100,6000,25,50102121,31011200,10000,30,1,1,1,11,12,13,0,20,0,0,0,80,0,dark_forest
2,1,0,6,3,5,50102111,31011100,6000,25,50102121,31011200,10000,30,1,1,1,11,12,13,0,10,70,0,10,0,10,dark_forest
2,1,0,7,3,5,50102112,31011100,6000,25,50102121,31011200,10000,30,1,1,1,11,12,13,0,10,0,90,0,0,0,dark_forest
2,1,0,8,3,5,50102111,31011100,6000,25,50102122,31011200,10000,30,1,1,1,11,12,13,0,10,70,0,5,10,5,dark_forest
2,1,0,9,3,5,50102112,31011100,6000,25,50102122,31011200,10000,30,1,1,1,11,12,13,0,80,0,20,0,0,0,dark_forest
2,1,0,10,3,5,0,31011100,6000,25,0,31011200,10000,30,1,1,1,11,12,13,1,0,0,0,0,100,0,dark_forest
2,1,0,11,1,1,0,0,6000,0,50102131,0,10000,30,0,0,0,0,0,0,2,100,0,0,0,0,0,dark_forest
3,1,0,1,3,5,0,31011100,6000,25,0,31011200,10000,30,1,1,1,11,12,13,1,0,0,0,100,0,0,graveyard
3,1,0,2,3,5,50103111,31011100,6000,25,50103121,31011200,10000,30,1,1,1,11,12,13,1,100,0,0,0,0,0,graveyard
3,1,0,3,3,5,50103112,31011100,6000,25,50103121,31011200,10000,30,1,1,1,11,12,13,0,80,0,0,0,0,20,graveyard
3,1,0,4,3,5,50103113,31011100,6000,25,50103122,31011200,10000,30,1,1,1,11,12,13,0,60,0,20,0,20,0,graveyard
3,1,0,5,3,5,50103111,31011100,6000,25,50103121,31011200,10000,30,1,1,1,11,12,13,0,30,70,0,0,0,0,graveyard
3,1,0,6,3,5,50103112,31011100,6000,25,50103122,31011200,10000,30,1,1,1,11,12,13,0,10,0,90,0,0,0,graveyard
3,1,0,7,3,5,50103113,31011100,6000,25,50103121,31011200,10000,30,1,1,1,11,12,13,0,60,0,0,0,20,20,graveyard
3,1,0,8,3,5,50103111,31011100,6000,25,50103122,31011200,10000,30,1,1,1,11,12,13,0,20,70,0,10,0,0,graveyard
3,1,0,9,3,5,50103112,31011100,6000,25,50103121,31011200,10000,30,1,1,1,11,12,13,0,45,0,50,5,0,0,graveyard
