id,help,step,value,value_type,lab_level,condition_id_1,condition_step_1,condition_id_2,condition_step_2,condition_id_3,condition_step_3,item1,item2,item3,item4,item5,item1_qty,item2_qty,item3_qty,item4_qty,item5_qty,research_sec,image,name,desc
70000001,건물 업그레이드 비용 감소 1,1,1,1,1,0,0,0,0,0,0,60000002,60000003,60000004,60000005,60000006,5,5,10,5,5,60,70000001,researchName70000001,researchDesc70000001
70000001,건물 업그레이드 비용 감소 1,2,1,1,1,70000001,1,0,0,0,0,60000002,60000003,60000004,60000005,60000006,6,6,11,6,6,60,70000001,researchName70000001,researchDesc70000001
70000001,건물 업그레이드 비용 감소 1,3,1,1,1,70000001,2,0,0,0,0,60000002,60000003,60000004,60000005,60000006,7,7,12,7,7,60,70000001,researchName70000001,researchDesc70000001
70000001,건물 업그레이드 비용 감소 1,4,1,1,1,70000001,3,0,0,0,0,60000002,60000003,60000004,60000005,60000006,8,8,13,8,8,60,70000001,researchName70000001,researchDesc70000001
70000001,건물 업그레이드 비용 감소 1,5,1,1,1,70000001,4,0,0,0,0,60000002,60000003,60000004,60000005,60000006,9,9,14,9,9,60,70000001,researchName70000001,researchDesc70000001
70000002,건물 업그레이드 비용 감소 2,1,1,1,20,70000012,3,0,0,0,0,60000002,60000003,60000004,60000005,60000006,10,10,15,10,10,300,70000002,researchName70000002,researchDesc70000001
70000002,건물 업그레이드 비용 감소 2,2,1,1,20,70000002,1,0,0,0,0,60000002,60000003,60000004,60000005,60000006,11,11,16,11,11,7,70000002,researchName70000002,researchDesc70000001
70000002,건물 업그레이드 비용 감소 2,3,1,1,20,70000002,2,0,0,0,0,60000002,60000003,60000004,60000005,60000006,12,12,17,12,12,8,70000002,researchName70000002,researchDesc70000001
70000002,건물 업그레이드 비용 감소 2,4,1,1,20,70000002,3,0,0,0,0,60000002,60000003,60000004,60000005,60000006,13,13,18,13,13,9,70000002,researchName70000002,researchDesc70000001
70000002,건물 업그레이드 비용 감소 2,5,1,1,20,70000002,4,0,0,0,0,60000002,60000003,60000004,60000005,60000006,14,14,19,14,14,10,70000002,researchName70000002,researchDesc70000001
70000011,건물 업그레이드 시간 감소 1,1,1.5,1,4,70000001,3,0,0,0,0,60000002,60000003,60000004,60000005,60000006,5,0,10,5,0,1,70000011,researchName70000011,researchDesc70000011
70000011,건물 업그레이드 시간 감소 1,2,1.5,1,4,70000011,1,0,0,0,0,60000002,60000003,60000004,60000005,60000006,6,0,11,6,0,2,70000011,researchName70000011,researchDesc70000011
70000011,건물 업그레이드 시간 감소 1,3,1.5,1,4,70000011,2,0,0,0,0,60000002,60000003,60000004,60000005,60000006,7,0,12,7,0,3,70000011,researchName70000011,researchDesc70000011
70000011,건물 업그레이드 시간 감소 1,4,1.5,1,4,70000011,3,0,0,0,0,60000002,60000003,60000004,60000005,60000006,8,0,13,8,0,4,70000011,researchName70000011,researchDesc70000011
70000011,건물 업그레이드 시간 감소 1,5,1.5,1,4,70000011,4,0,0,0,0,60000002,60000003,60000004,60000005,60000006,9,0,14,9,0,5,70000011,researchName70000011,researchDesc70000011
70000012,건물 업그레이드 시간 감소 2,1,1.5,1,14,70001001,5,0,0,0,0,60000002,60000003,60000004,60000005,60000006,10,0,15,10,0,6,70000012,researchName70000012,researchDesc70000011
70000012,건물 업그레이드 시간 감소 2,2,1.5,1,14,70000012,1,0,0,0,0,60000002,60000003,60000004,60000005,60000006,11,0,16,11,0,7,70000012,researchName70000012,researchDesc70000011
70000012,건물 업그레이드 시간 감소 2,3,1.5,1,14,70000012,2,0,0,0,0,60000002,60000003,60000004,60000005,60000006,12,0,17,12,0,8,70000012,researchName70000012,researchDesc70000011
70000012,건물 업그레이드 시간 감소 2,4,1.5,1,14,70000012,3,0,0,0,0,60000002,60000003,60000004,60000005,60000006,13,0,18,13,0,9,70000012,researchName70000012,researchDesc70000011
70000012,건물 업그레이드 시간 감소 2,5,1.5,1,14,70000012,4,0,0,0,0,60000002,60000003,60000004,60000005,60000006,14,0,19,14,0,10,70000012,researchName70000012,researchDesc70000011
70000021,건물 즉시 완성 비용 감소 1,1,1,1,1,0,0,0,0,0,0,60000002,60000003,60000004,60000005,60000006,5,5,10,5,5,1,70000021,researchName70000021,researchDesc70000021
70000021,건물 즉시 완성 비용 감소 1,2,1,1,1,70000021,1,0,0,0,0,60000002,60000003,60000004,60000005,60000006,6,6,11,6,6,2,70000021,researchName70000021,researchDesc70000021
70000021,건물 즉시 완성 비용 감소 1,3,1,1,1,70000021,2,0,0,0,0,60000002,60000003,60000004,60000005,60000006,7,7,12,7,7,3,70000021,researchName70000021,researchDesc70000021
