id,help,group1_id,group1_prob,group2_id,group2_prob,group3_id,group3_prob,group4_id,group4_prob,group5_id,group5_prob,group6_id,group6_prob,group1_cnt,group2_cnt,group3_cnt,group4_cnt,group5_cnt,group6_cnt,count,checkSum
31000710,이벤트 획득 랜덤 스킬,31000711,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
31011410,Region1 스텝 진행 보상: 골드,39200050,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
31011420,Region1 스텝 진행 보상: 경험치 석,39300010,4000,39300050,1000,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5000
31011430,Region1 스텝 진행 보상: 유저 경험치 석,39400010,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
31011310,Region1 보스 보상: 골드,39200300,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
31011320,Region1 보스 보상: 경험치 석,39300010,6000,39300050,4000,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,10000
31011330,Region1 보스 보상: 제작재료,34010111,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
31011340,Region1 보스 보상: 유저 경험치석,39400010,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,10000
31011110,Region1 일반 전투 보상: 은화,39150060,7000,39150090,3000,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
31011120,Region1 일반 전투 보상: 배틀 아이템,30010101,3000,30010102,1000,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4000
31011210,Region1 엘리트 전투 보상: 은화,39150120,7000,39150180,3000,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
31011220,Region1 엘리트 전투 보상: 배틀 아이템,30010101,4500,30010102,1500,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,6000
31001110,상인 배틀 아이템1,30010101,7500,30010102,2500,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
30000310,유저 레벨업 보상 1,39100100,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
30000320,유저 레벨업 보상 2,39201000,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
30000330,유저 레벨업 보상 3,39300100,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
30030110,배틀 아이템,30010101,7500,30010102,2500,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
30001101,대기소환1,39300010,4000,39300050,3000,39300100,2000,30010201,1000,0,0,0,0,1,1,1,1,1,1,1,10000
30001102,대기소환2,39300010,3500,39300050,3000,39300100,2000,30010201,1000,30010202,500,0,0,1,1,1,1,1,1,1,10000
30001103,대기소환3,39300010,1500,39300050,3000,39300100,2000,30010201,2000,30010202,1000,30010203,500,1,1,1,1,1,1,1,10000
30001104,대기소환4,30010201,8800,30010202,1000,30010203,200,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
30001105,대기소환5,30010201,8550,30010202,1200,30010203,250,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
30001001,고급소환,30010201,5000,30010202,3000,30010203,2000,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
30001002,고급소환 10연,30010201,5000,30010202,3000,30010203,2000,0,0,0,0,0,0,1,1,1,1,1,1,10,10000
30001201,이벤트소환,30010201,5000,30010202,1000,30010203,2000,30010206,2000,0,0,0,0,1,1,1,1,1,1,1,10000
30001202,이벤트소환 10연,30010201,5000,30010202,1000,30010203,2000,30010206,2000,0,0,0,0,1,1,1,1,1,1,10,10000
30001311,불속성 소환,30010211,5000,30010212,3000,30010213,2000,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
30001312,불속성 소환 10연,30010211,5000,30010212,3000,30010213,2000,0,0,0,0,0,0,1,1,1,1,1,1,10,10000
30001321,물속성 소환,30010221,5000,30010222,3000,30010223,2000,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
30001322,물속성 소환 10연,30010221,5000,30010222,3000,30010223,2000,0,0,0,0,0,0,1,1,1,1,1,1,10,10000
30001331,풀속성 소환,30010231,5000,30010232,3000,30010233,2000,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
30001332,풀속성 소환 10연,30010231,5000,30010232,3000,30010233,2000,0,0,0,0,0,0,1,1,1,1,1,1,10,10000
30001341,빛속성 소환,30010241,5000,30010242,3000,30010243,2000,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
30001342,빛속성 소환 10연,30010241,5000,30010242,3000,30010243,2000,0,0,0,0,0,0,1,1,1,1,1,1,10,10000
30001351,어둠속성 소환,30010251,5000,30010252,3000,30010253,2000,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
30001352,어둠속성 소환 10연,30010251,5000,30010252,3000,30010253,2000,0,0,0,0,0,0,1,1,1,1,1,1,10,10000
32020110,골드타워_1,32020111,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
32020210,골드타워_2,32020211,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
32020310,골드타워_3,32020311,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
32020410,골드타워_4,32020411,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
32020510,골드타워_5,32020511,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
32020610,골드타워_6,32020611,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
32020710,골드타워_7,32020711,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
32020810,골드타워_8,32020811,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
32020910,골드타워_9,32020911,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
32021010,골드타워_10,32021011,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
32021110,골드타워_11,32021111,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
32021210,골드타워_12,32021211,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
32021310,골드타워_13,32021311,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
32021410,골드타워_14,32021411,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
32021510,골드타워_15,32021511,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
32021610,골드타워_16,32021611,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
32021710,골드타워_17,32021711,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
32021810,골드타워_18,32021811,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
32021910,골드타워_19,32021911,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
32022010,골드타워_20,32022011,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
32022110,골드타워_21,32022111,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
32022210,골드타워_22,32022211,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
32022310,골드타워_23,32022311,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
32022410,골드타워_24,32022411,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
32022510,골드타워_25,32022511,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
32022610,골드타워_26,32022611,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
32022710,골드타워_27,32022711,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
32022810,골드타워_28,32022811,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
32022910,골드타워_29,32022911,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
32023010,골드타워_30,32023011,10000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10000
32200110,파밍타워_공통골드_1,32200111,5000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5000
32200210,파밍타워_공통골드_2,32200211,5000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5000
32200310,파밍타워_공통골드_3,32200311,5000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5000
32200410,파밍타워_공통골드_4,32200411,5000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5000
32200510,파밍타워_공통골드_5,32200511,5000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5000
32200610,파밍타워_공통골드_6,32200611,5000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5000
32200710,파밍타워_공통골드_7,32200711,5000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5000
32200810,파밍타워_공통골드_8,32200811,5000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5000
32200910,파밍타워_공통골드_9,32200911,5000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5000
32201010,파밍타워_공통골드_10,32201011,5000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5000
32201110,파밍타워_공통골드_11,32201111,5000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5000
32201210,파밍타워_공통골드_12,32201211,5000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5000
32201310,파밍타워_공통골드_13,32201311,5000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5000
32201410,파밍타워_공통골드_14,32201411,5000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5000
32201510,파밍타워_공통골드_15,32201511,5000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5000
32201610,파밍타워_공통골드_16,32201611,5000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5000
32201710,파밍타워_공통골드_17,32201711,5000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5000
32201810,파밍타워_공통골드_18,32201811,5000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5000
32201910,파밍타워_공통골드_19,32201911,5000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5000
32202010,파밍타워_공통골드_20,32202011,5000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5000
32202110,파밍타워_공통골드_21,32202111,5000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5000
32202210,파밍타워_공통골드_22,32202211,5000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5000
32202310,파밍타워_공통골드_23,32202311,5000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5000
32202410,파밍타워_공통골드_24,32202411,5000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5000
32202510,파밍타워_공통골드_25,32202511,5000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5000
32202610,파밍타워_공통골드_26,32202611,5000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5000
32202710,파밍타워_공통골드_27,32202711,5000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5000
32202810,파밍타워_공통골드_28,32202811,5000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5000
32202910,파밍타워_공통골드_29,32202911,5000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5000
32203010,파밍타워_공통골드_30,32203011,5000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5000
32210110,파밍타워_공통경험치석_1,32210111,7000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,7000
