id,exclu,MP,par,pos,time,flip,sound,type1,effect1,target1,stat1,value_type1,value1,A_stat1,A_value1,apply1,turn1,turnSys1,particle1,buffIcon1,buff_desc1,skillDesc1,type2,effect2,target2,stat2,value_type2,value2,A_stat2,A_value2,apply2,turn2,turnSys2,particle2,buffIcon2,buff_desc2,skillDesc2,type3,effect3,target3,stat3,value_type3,value3,A_stat3,A_value3,apply3,turn3,turnSys3,particle3,buffIcon3,buff_desc3,skillDesc3,name,desc
20000000,0,0,0,0,0,0,0,0,3,2,14,0,0,0,0,1,2,0,30013,203,skillBuffDesc_203,skillDesc_stun,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,skillName20000000,skillDesc20000000
20000001,100,0,0,0,0,0,0,0,2,12,2,4,0,6,20,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,skillName20000001,skillDesc20000001
20000002,100,0,0,0,0,0,0,0,2,12,2,4,0,6,30,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,skillName20000002,skillDesc20000002
20000301,0,0,23002,1,1,0,Official_FireMagic_StartSound_3,0,4,46,103,0,1,0,0,1,0,0,23002,0,0,skillDesc_rg_ice,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,skillName20000301,skillDesc20000301
20000302,0,0,22002,1,1,0,Official_LightMagic_StartSound_3,0,4,46,103,0,2,0,0,1,0,0,22002,0,0,skillDesc_rg_web,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,skillName20000302,skillDesc20000302
20000303,0,0,22004,2,1,0,Official_NatureMagic_StartSound_2,0,4,46,103,0,3,0,0,1,0,0,30001,0,0,skillDesc_rg_poison,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,skillName20000303,skillDesc20000303
20000304,0,0,24006,1,1,0,Water_Ready_Sound,0,4,46,103,0,4,0,0,1,0,0,24006,0,0,skillDesc_rg_mud,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,skillName20000304,skillDesc20000304
20000305,0,0,22008,2,1,0,Water_Ready_Sound,0,4,46,103,0,5,0,0,1,0,0,30005,0,0,skillDesc_rg_bomb,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,skillName20000305,skillDesc20000305
20000306,0,0,22005,2,1,0,Official_LightMagic_StartSound_3,0,4,47,103,0,6,0,0,1,0,0,30011,0,0,skillDesc_rg_reverse,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,skillName20000306,skillDesc20000306
20000307,0,0,24000,2,1,0,Water_Fly_Sound,0,4,47,103,0,7,0,0,1,0,0,30008,0,0,skillDesc_rg_fire,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,skillName20000307,skillDesc20000307
20000308,0,0,24009,2,1,0,Water_Ready_Sound,0,4,47,103,0,8,0,0,1,0,0,30012,0,0,skillDesc_rg_healBlock,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,skillName20000308,skillDesc20000308
28000000,0,0,0,0,0,0,0,1,2,10,1,1,3,0,0,1,0,0,0,0,0,skillDesc_Passive_up,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,skillName28000000,skillDesc28000000
28000001,0,0,0,0,0,0,0,1,2,10,4,1,3,0,0,1,0,0,0,0,0,skillDesc_Passive_up,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,skillName28000001,skillDesc28000001
28000002,0,0,0,0,0,0,0,1,2,10,84,2,10,0,0,1,0,0,0,0,0,skillDesc_Passive_up,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,skillName28000002,skillDesc28000002
28000003,0,0,0,0,0,0,0,1,2,10,85,2,10,0,0,1,0,0,0,0,0,skillDesc_Passive_up,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,skillName28000003,skillDesc28000003
28000004,0,0,0,0,0,0,0,1,2,10,5,2,3,0,0,1,0,0,0,0,0,skillDesc_Passive_up,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,skillName28000004,skillDesc28000004
28000005,0,0,0,0,0,0,0,1,2,10,9,1,2,0,0,1,0,0,0,0,0,skillDesc_Passive_down,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,skillName28000005,skillDesc28000005
28000006,0,0,0,0,0,0,0,1,2,10,17,1,15,0,0,1,0,0,0,0,0,skillDesc_Passive_up,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,skillName28000006,skillDesc28000006
29000000,0,400,0,0,0,0,0,0,2,11,1,1,10,0,0,1,-3,0,3,1,skillBuffDesc_1,skillDesc_up,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,skillName29000000,skillDesc29000000
29000001,0,600,0,0,0,0,0,0,3,1,1,1,10,0,0,1,-3,0,4,11,skillBuffDesc_11,skillDesc_down,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,skillName29000001,skillDesc29000001
29000002,0,400,0,0,0,0,0,0,2,11,4,1,10,0,0,1,3,0,3,2,skillBuffDesc_2,skillDesc_up,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,skillName29000002,skillDesc29000002
29000003,0,600,0,0,0,0,0,0,3,1,4,1,10,0,0,1,-3,0,4,12,skillBuffDesc_12,skillDesc_down,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,skillName29000003,skillDesc29000003
29000004,0,400,0,0,0,0,0,0,2,11,5,2,10,0,0,1,-3,0,3,3,skillBuffDesc_3,skillDesc_up,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,skillName29000004,skillDesc29000004
29000005,0,600,0,0,0,0,0,0,3,1,5,2,10,0,0,1,-3,0,4,13,skillBuffDesc_13,skillDesc_down,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,skillName29000005,skillDesc29000005
29000006,0,400,0,0,0,0,0,0,2,11,9,1,10,0,0,1,3,0,3,4,skillBuffDesc_4,skillDesc_down,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,skillName29000006,skillDesc29000006
