group,rank,help,reward_id
1,1,우승,30041100
1,2,준우승,30041200
1,3,3위,30041200
1,4,4위,30041200
1,8,8강,30041200
1,16,16강,30041200
1,32,32강,30041200
1,64,64강,30041200
1,128,128강,30041200
1,256,256강,30041200
1,512,512강,30041200
1,1024,1024강,30041200
2,1,우승,30041100
2,2,준우승,30041200
2,3,3위,30041200
2,4,4위,30041200
2,8,8강,30041200
2,16,16강,30041200
2,32,32강,30041200
2,64,64강,30041200
2,128,128강,30041200
2,256,256강,30041200
2,512,512강,30041200
2,1024,1024강,30041200
3,1,우승,30041100
3,2,준우승,30041200
3,3,3위,30041200
3,4,4위,30041200
3,8,8강,30041200
3,16,16강,30041200
3,32,32강,30041200
3,64,64강,30041200
3,128,128강,30041200
3,256,256강,30041200
3,512,512강,30041200
3,1024,1024강,30041200
4,1,우승,30041100
4,2,준우승,30041200
4,3,3위,30041200
4,4,4위,30041200
4,8,8강,30041200
4,16,16강,30041200
4,32,32강,30041200
4,64,64강,30041200
4,128,128강,30041200
4,256,256강,30041200
4,512,512강,30041200
4,1024,1024강,30041200
5,1,우승,30041100
5,2,준우승,30041200
5,3,3위,30041200
5,4,4위,30041200
5,8,8강,30041200
5,16,16강,30041200
5,32,32강,30041200
5,64,64강,30041200
5,128,128강,30041200
5,256,256강,30041200
5,512,512강,30041200
5,1024,1024강,30041200
6,1,우승,30041100
6,2,준우승,30041200
6,3,3위,30041200
6,4,4위,30041200
6,8,8강,30041200
6,16,16강,30041200
6,32,32강,30041200
6,64,64강,30041200
6,128,128강,30041200
6,256,256강,30041200
6,512,512강,30041200
6,1024,1024강,30041200
7,1,우승,30041100
7,2,준우승,30041200
7,3,3위,30041200
7,4,4위,30041200
7,8,8강,30041200
7,16,16강,30041200
7,32,32강,30041200
7,64,64강,30041200
7,128,128강,30041200
7,256,256강,30041200
7,512,512강,30041200
7,1024,1024강,30041200
8,1,우승,30041100
8,2,준우승,30041200
8,3,3위,30041200
8,4,4위,30041200
8,8,8강,30041200
8,16,16강,30041200
8,32,32강,30041200
8,64,64강,30041200
8,128,128강,30041200
8,256,256강,30041200
8,512,512강,30041200
8,1024,1024강,30041200
9,1,우승,30041100
9,2,준우승,30041200
9,3,3위,30041200
9,4,4위,30041200
9,8,8강,30041200
9,16,16강,30041200
9,32,32강,30041200
9,64,64강,30041200
9,128,128강,30041200
9,256,256강,30041200
9,512,512강,30041200
9,1024,1024강,30041200
10,1,우승,30041100
10,2,준우승,30041200
10,3,3위,30041200
10,4,4위,30041200
10,8,8강,30041200
10,16,16강,30041200
10,32,32강,30041200
10,64,64강,30041200
10,128,128강,30041200
10,256,256강,30041200
10,512,512강,30041200
10,1024,1024강,30041200
