id,grade,probablity,item1,product_qty1,buy_qty1,item2,product_qty2,buy_qty2,item3,product_qty3,buy_qty3,item4,product_qty4,buy_qty4,item5,product_qty5,buy_qty5,item6,product_qty6,buy_qty6,item7,product_qty7,buy_qty7,item8,product_qty8,buy_qty8
1,1,3000,60000003,15000,10000,60000004,15000,10000,60000005,15000,10000,60000006,15000,10000,60000002,1500,1000,0,0,0,0,0,0,0,0,0
2,1,1800,60000003,16000,10000,60000004,16000,10000,60000005,16000,10000,60000006,16000,10000,60000002,1600,1000,0,0,0,0,0,0,0,0,0
3,1,1200,60000003,17000,10000,60000004,17000,10000,60000005,17000,10000,60000006,17000,10000,60000002,1700,1000,0,0,0,0,0,0,0,0,0
4,2,750,60000003,30000,10000,60000004,30000,10000,60000005,30000,10000,60000006,30000,10000,60000002,3000,1000,0,0,0,0,0,0,0,0,0
5,2,450,60000003,31000,10000,60000004,31000,10000,60000005,31000,10000,60000006,31000,10000,60000002,3100,1000,0,0,0,0,0,0,0,0,0
6,2,450,60000003,32000,10000,60000004,32000,10000,60000005,32000,10000,60000006,32000,10000,60000002,3200,1000,0,0,0,0,0,0,0,0,0
7,2,450,60000003,33000,10000,60000004,33000,10000,60000005,33000,10000,60000006,33000,10000,60000002,3300,1000,0,0,0,0,0,0,0,0,0
8,2,450,60000003,34000,10000,60000004,34000,10000,60000005,34000,10000,60000006,34000,10000,60000002,3400,1000,0,0,0,0,0,0,0,0,0
9,2,450,60000003,35000,10000,60000004,35000,10000,60000005,35000,10000,60000006,35000,10000,60000002,3500,1000,0,0,0,0,0,0,0,0,0
10,3,250,60000003,100000,10000,60000004,100000,10000,60000005,100000,10000,60000006,100000,10000,60000002,10000,1000,0,0,0,0,0,0,0,0,0
11,3,150,60000003,110000,10000,60000004,110000,10000,60000005,110000,10000,60000006,110000,10000,60000002,11000,1000,0,0,0,0,0,0,0,0,0
12,3,150,60000003,120000,10000,60000004,120000,10000,60000005,120000,10000,60000006,120000,10000,60000002,12000,1000,0,0,0,0,0,0,0,0,0
13,3,150,60000003,130000,10000,60000004,130000,10000,60000005,130000,10000,60000006,130000,10000,60000002,13000,1000,0,0,0,0,0,0,0,0,0
14,3,150,60000003,140000,10000,60000004,140000,10000,60000005,140000,10000,60000006,140000,10000,60000002,14000,1000,0,0,0,0,0,0,0,0,0
15,3,150,60000003,150000,10000,60000004,150000,10000,60000005,150000,10000,60000006,150000,10000,60000002,15000,1000,0,0,0,0,0,0,0,0,0
