user_level,next_level_exp_sum,max_stamina,reward_set_id
1,100,5,30000300
2,800,9,30000300
3,2700,11,30000300
4,6400,13,30000300
5,12500,15,30000300
6,21600,17,30000300
7,34300,19,30000300
8,51200,21,30000300
9,72900,23,30000300
10,100000,25,30000300
11,133100,27,30000300
12,172800,29,30000300
13,219700,31,30000300
14,274400,33,30000300
15,337500,35,30000300
16,409600,37,30000300
17,491300,39,30000300
18,583200,41,30000300
19,685900,43,30000300
20,800000,45,30000300
21,926100,45,30000300
22,1064800,45,30000300
23,1216700,45,30000300
24,1382400,45,30000300
25,1562500,45,30000300
26,1757600,45,30000300
27,1968300,45,30000300
28,2195200,45,30000300
29,2438900,45,30000300
30,2700000,45,30000300
31,2979100,45,30000300
32,3276800,45,30000300
33,3593700,45,30000300
34,3930400,45,30000300
35,4287500,45,30000300
36,4665600,45,30000300
37,5065300,45,30000300
38,5487200,45,30000300
39,5931900,45,30000300
40,6400000,45,30000300
41,6892100,45,30000300
42,7408800,45,30000300
43,7950700,45,30000300
44,8518400,45,30000300
45,9112500,45,30000300
46,9733600,45,30000300
47,10382300,45,30000300
48,11059200,45,30000300
49,11764900,45,30000300
50,12500000,45,30000300
51,13265100,45,30000300
52,14060800,45,30000300
53,14887700,45,30000300
54,15746400,45,30000300
55,16637500,45,30000300
56,17561600,45,30000300
57,18519300,45,30000300
58,19511200,45,30000300
59,20537900,45,30000300
60,21600000,45,30000300
61,22698100,45,30000300
62,23832800,45,30000300
63,25004700,45,30000300
64,26214400,45,30000300
65,27462500,45,30000300
66,28749600,45,30000300
67,30076300,45,30000300
68,31443200,45,30000300
69,32850900,45,30000300
70,34300000,45,30000300
71,35791100,45,30000300
72,37324800,45,30000300
73,38901700,45,30000300
74,40522400,45,30000300
75,42187500,45,30000300
76,43897600,45,30000300
77,45653300,45,30000300
78,47455200,45,30000300
79,49303900,45,30000300
80,51200000,45,30000300
81,53144100,45,30000300
82,55136800,45,30000300
83,57178700,45,30000300
84,59270400,45,30000300
85,61412500,45,30000300
86,63605600,45,30000300
87,65850300,45,30000300
88,68147200,45,30000300
89,70496900,45,30000300
90,72900000,45,30000300
91,75357100,45,30000300
92,77868800,45,30000300
93,80435700,45,30000300
94,83058400,45,30000300
95,85737500,45,30000300
96,88473600,45,30000300
97,91267300,45,30000300
98,94119200,45,30000300
99,97029900,45,30000300
100,100000000,45,30000300
101,103030100,45,30000300
102,106120800,45,30000300
103,109272700,45,30000300
104,112486400,45,30000300
105,115762500,45,30000300
106,119101600,45,30000300
107,122504300,45,30000300
108,125971200,45,30000300
109,129502900,45,30000300
110,133100000,45,30000300
111,136763100,45,30000300
112,140492800,45,30000300
113,144289700,45,30000300
114,148154400,45,30000300
115,152087500,45,30000300
116,156089600,45,30000300
117,160161300,45,30000300
118,164303200,45,30000300
119,168515900,45,30000300
120,172800000,45,30000300
121,177156100,45,30000300
122,181584800,45,30000300
123,186086700,45,30000300
124,190662400,45,30000300
125,195312500,45,30000300
126,200037600,45,30000300
127,204838300,45,30000300
128,209715200,45,30000300
129,214668900,45,30000300
130,219700000,45,30000300
131,224809100,45,30000300
132,229996800,45,30000300
133,235263700,45,30000300
134,240610400,45,30000300
135,246037500,45,30000300
136,251545600,45,30000300
137,257135300,45,30000300
138,262807200,45,30000300
139,268561900,45,30000300
140,274400000,45,30000300
141,280322100,45,30000300
142,286328800,45,30000300
143,292420700,45,30000300
144,298598400,45,30000300
145,304862500,45,30000300
146,311213600,45,30000300
147,317652300,45,30000300
148,324179200,45,30000300
149,330794900,45,30000300
150,337500000,45,30000300
151,344295100,45,30000300
152,351180800,45,30000300
153,358157700,45,30000300
154,365226400,45,30000300
