level,item1_id,item2_id,item3_id,item4_id,item5_id,item1_qty,item2_qty,item3_qty,item4_qty,item5_qty,build_sec,craft_buff,max_craft
1,60000002,60000003,60000004,60000005,60000006,1,1,1,1,1,1,1,1
2,60000002,60000003,60000004,60000005,60000006,2,2,2,2,2,2,2,1
3,60000002,60000003,60000004,60000005,60000006,3,3,3,3,3,3,3,1
4,60000002,60000003,60000004,60000005,60000006,4,4,4,4,4,4,4,1
5,60000002,60000003,60000004,60000005,60000006,5,5,5,5,5,5,5,1
6,60000002,60000003,60000004,60000005,60000006,6,6,6,6,6,6,6,2
7,60000002,60000003,60000004,60000005,60000006,7,7,7,7,7,7,7,2
8,60000002,60000003,60000004,60000005,60000006,8,8,8,8,8,8,8,2
9,60000002,60000003,60000004,60000005,60000006,9,9,9,9,9,9,9,2
10,60000002,60000003,60000004,60000005,60000006,10,10,10,10,10,10,10,2
11,60000002,60000003,60000004,60000005,60000006,11,11,11,11,11,11,11,3
12,60000002,60000003,60000004,60000005,60000006,12,12,12,12,12,12,12,3
13,60000002,60000003,60000004,60000005,60000006,13,13,13,13,13,13,13,3
14,60000002,60000003,60000004,60000005,60000006,14,14,14,14,14,14,14,3
15,60000002,60000003,60000004,60000005,60000006,15,15,15,15,15,15,15,3
16,60000002,60000003,60000004,60000005,60000006,16,16,16,16,16,16,16,4
17,60000002,60000003,60000004,60000005,60000006,17,17,17,17,17,17,17,4
18,60000002,60000003,60000004,60000005,60000006,18,18,18,18,18,18,18,4
19,60000002,60000003,60000004,60000005,60000006,19,19,19,19,19,19,19,4
20,60000002,60000003,60000004,60000005,60000006,20,20,20,20,20,20,20,4
21,60000002,60000003,60000004,60000005,60000006,21,21,21,21,21,21,21,5
22,60000002,60000003,60000004,60000005,60000006,22,22,22,22,22,22,22,5
23,60000002,60000003,60000004,60000005,60000006,23,23,23,23,23,23,23,5
24,60000002,60000003,60000004,60000005,60000006,24,24,24,24,24,24,24,5
25,60000002,60000003,60000004,60000005,60000006,25,25,25,25,25,25,25,6
